name,hand
hu8BF030,Both equally well
huE778FA,Right
hu41C320,Right
huD8D4AD,Right
huCE6228,Right
hu86597D,
huC27EEE,Right
huB63C0C,Right
hu1206C8,Right
hu1206C8,Right
huE36C4B,Right
huE36C4B,
huCD25E9,Right
huA31492,Right
huFB42F7,Right
hu17A4AB,Right
hu3B8141,Right
hu329CC4,Right
huAC827A,Right
huF7FFA9,Right
huB17F67,Right
huE86317,Right
huDFF9CC,Left
huC23960,Left
